1599 3
1.9	34	9.4
2.6	67	9.8
2.3	54	9.8
1.9	60	9.8
1.9	34	9.4
1.8	40	9.4
1.6	59	9.4
1.2	21	10
2	18	9.5
6.1	102	10.5
1.8	65	9.2
6.1	102	10.5
1.6	59	9.9
1.6	29	9.1
3.8	145	9.2
3.9	148	9.2
1.8	103	10.5
1.7	56	9.3
4.4	29	9
1.8	56	9.2
1.8	60	9.4
2.3	71	9.7
1.6	37	9.5
2.3	67	9.4
2.4	40	9.7
1.4	23	9.3
1.8	11	9.5
1.6	37	9.5
1.9	35	9.4
2	16	9.8
2.4	82	10.1
2.5	37	10.6
2.3	113	9.8
10.7	83	9.4
1.8	50	9.2
5.5	18	9.6
2.4	15	10.8
2.1	30	9.7
1.5	19	9.8
5.9	87	10.5
5.9	87	10.5
2.8	46	9.3
2.6	14	10.5
2.2	23	10.3
1.8	11	9.5
2.1	65	13.1
2.2	114	9.2
1.6	37	9.5
1.6	12	9.2
1.4	96	9.2
1.7	23	9.2
2.2	15	9.4
2.1	14	9.4
3	119	9.4
2.8	73	10.2
3.8	45	9.5
3.4	10	9.6
5.1	110	9.4
2.3	54	10
2.4	46	9.4
2.2	52	9.2
1.8	112	9.3
1.9	35	9.5
2	54	9.8
4.65	11	10.9
4.65	11	10.9
1.5	39	9.6
1.6	15	10.7
2	65	10.7
1.9	19	10.5
1.9	27	9.5
2.1	96	9.5
1.9	94	9.5
2.1	43	9.2
2.5	83	9.6
2.2	42	10.5
2.2	42	10.5
2.4	30	10.7
2	80	10.1
1.5	119	9.1
1.6	15	9.2
1.9	67	9.4
2	73	9.1
1.8	51	9.4
1.8	61	10.3
2.2	40	10.1
1.9	136	9.9
1.9	31	9.6
2.1	125	9.5
1.8	24	9
1.9	140	9.5
1.9	136	9.9
2	133	9.8
1.9	31	9.6
1.4	85	10.5
2.3	106	12.9
3	23	10.7
2	22	9.2
2.5	10	9.8
1.9	35	9
2.1	50	10.2
1.9	22	10.4
1.9	35	9
2.1	65	9.2
2.2	36	9.4
2.1	65	9.2
1.7	69	9.3
1.7	64	9.3
2.5	80	9.6
2	153	9.3
1.8	47	9.5
2.2	108	9.8
2.2	111	9.8
2.3	46	9.7
1.8	47	9.5
2.2	62	10.5
1.9	40	10
2	28	9.4
2.2	56	10.9
1.8	89	9.2
1.7	89	9
2.2	56	10.9
2.5	13	9.2
2.6	34	9.5
1.6	102	9.5
1.9	90	9.4
1.7	12	10.9
1.8	12	10.9
1.8	16	10.5
1.8	19	9.4
2	134	9.4
2.3	99	13
2.3	99	13
1.5	26	9.8
2.2	29	9.9
1.9	63	9.6
1.8	52	9.5
2	45	9.2
2.1	105	9.5
2	108	9.5
1.9	63	9.6
1.8	52	9.5
1.8	63	14
1.7	20	9.4
1.8	63	14
1.8	141	9.4
1.8	94	10
1.6	88	9.3
