1599 2
1.9	34
2.6	67
2.3	54
1.9	60
1.9	34
1.8	40
1.6	59
1.2	21
2	18
6.1	102
1.8	65
6.1	102
1.6	59
1.6	29
3.8	145
3.9	148
1.8	103
1.7	56
4.4	29
1.8	56
1.8	60
2.3	71
1.6	37
2.3	67
2.4	40
1.4	23
1.8	11
1.6	37
1.9	35
2	16
2.4	82
2.5	37
2.3	113
10.7	83
1.8	50
5.5	18
2.4	15
2.1	30
1.5	19
5.9	87
5.9	87
2.8	46
2.6	14
2.2	23
1.8	11
2.1	65
2.2	114
1.6	37
1.6	12
1.4	96
1.7	23
2.2	15
2.1	14
3	119
2.8	73
3.8	45
3.4	10
5.1	110
2.3	54
2.4	46
2.2	52
1.8	112
1.9	35
2	54
4.65	11
4.65	11
1.5	39
1.6	15
2	65
1.9	19
1.9	27
2.1	96
1.9	94
2.1	43
2.5	83
2.2	42
2.2	42
2.4	30
2	80
1.5	119
1.6	15
1.9	67
2	73
1.8	51
1.8	61
2.2	40
1.9	136
1.9	31
2.1	125
1.8	24
1.9	140
1.9	136
2	133
1.9	31
1.4	85
2.3	106
3	23
2	22
2.5	10
1.9	35
2.1	50
1.9	22
1.9	35
2.1	65
2.2	36
2.1	65
1.7	69
1.7	64
2.5	80
2	153
1.8	47
2.2	108
2.2	111
2.3	46
1.8	47
2.2	62
1.9	40
2	28
2.2	56
1.8	89
1.7	89
2.2	56
2.5	13
2.6	34
1.6	102
1.9	90
1.7	12
1.8	12
1.8	16
1.8	19
2	134
2.3	99
2.3	99
1.5	26
2.2	29
1.9	63
1.8	52
2	45
2.1	105
2	108
1.9	63
1.8	52
1.8	63
1.7	20
1.8	63
1.8	141
1.8	94
1.6	88
2.3	30
2.8	43
2.1	11
3.4	69
1.8	99
1.8	99
5.5	129
5.5	128
5.5	129
5.5	128
2.2	22
1.9	86
2	20
1.3	20
1.7	31
7.3	121
7.2	121
1.7	96
2.1	101
1.6	42
2.1	44
1.8	63
1.8	8
2	18
2	18
1.9	42
2	35
1.5	49
2	35
2.3	38
2.5	20
2.4	42
2.4	42
2	110
2.5	42
1.8	65
1.9	62
2	85
2	67
2.6	26
2	143
1.9	144
2.9	127
1.9	49
3.8	126
2.2	28
2.2	28
2	120
2.4	55
2	27
1.2	93
2.1	31
1.4	24
2.1	145
1.5	49
1.6	39
1.6	37
2.6	28
2.6	28
1.8	120
2.7	95
2.1	19
2	19
2.8	62
2.1	15
2.2	65
2.4	41
5.6	121
2	49
2.2	41
1.9	44
2.4	144
2	58
2	72
1.5	10
2	28
2	55
2.6	63
2	81
2.6	23
2.6	63
2.6	37
1.6	106
1.8	49
2.8	58
2.6	37
2.3	37
1.9	38
1.9	38
1.9	39
1.9	38
2.3	37
1.7	62
2.1	24
1.8	109
2.2	24
2.2	24
2	23
1.9	51
2.3	73
1.7	39
2	23
1.6	37
1.8	34
3.1	21
1.9	86
1.8	34
3.2	119
2.2	13
2.1	56
1.8	45
2.6	33
1.7	45
2	67
1.7	35
1.8	49
2.4	27
1.8	10
3.3	61
3.6	37
3	27
4	23
4	61
4	23
4	65
2.4	38
7	94
4	61
3	27
4	23
6.4	13
5.6	47
3.6	19
3.5	10
3	53
5.6	47
3.4	71
3.4	71
2	49
3	53
2.5	49
3.3	98
2.5	49
2	18
2.7	48
2.4	16
3.2	53
2.5	27
2.6	70
2	29
2.3	31
2.1	33
2.6	44
1.5	15
2.6	28
1.6	21
2.1	90
2.5	25
2.2	54
2.4	14
2.4	12
1.7	30
2.5	25
2	105
2.8	98
3	135
2.6	72
2.5	53
3.4	92
2.9	74
3.2	59
2.9	74
3.2	59
3.4	87
2.3	18
2.8	73
11	50
11	50
3.65	14
4.5	13
2.6	21
2	15
2.9	41
2.9	41
3.2	114
2.1	44
2.5	38
3.4	21
1.9	16
2.8	58
3	99
2.3	29
2.4	21
2.7	18
1.8	14
1.8	14
2.6	32
1.9	63
2.7	34
3	15
2.8	46
2.6	28
2.7	34
2.6	26
2.4	19
4.8	77
1.4	165
2.4	32
3	55
2.95	29
3.1	23
2.6	41
2	81
2.6	50
2.5	37
2	15
5.8	42
3.4	21
5.8	42
2.6	24
2.8	75
2.4	18
2.3	63
1.6	25
1.8	46
2.2	72
3.8	47
4.4	15
3	47
2.4	18
6.2	24
2.5	60
2	27
2.9	43
2	27
2	27
2.1	54
2.4	37
2	48
1.9	42
1.9	53
2.5	49
1.4	88
2.9	43
2	26
2	95
2.3	25
4.2	38
7.9	124
2.6	49
2.6	49
2.3	42
7.9	124
1.7	38
2.6	64
2.7	41
2.7	27
1.4	25
2.5	28
3	30
3.7	16
4.5	49
2.5	86
2.4	78
1.9	77
6.7	19
2.7	122
6.6	134
2.2	20
1.9	124
2	20
1.8	52
2.4	67
2.3	48
2	60
2.1	24
2	60
2.3	48
2.1	48
1.9	32
1.3	30
